,lon,lat,n_mb_years,tstar,bias
RGI60-01.00570,-145.427,63.281,51,1922,538.5640648600718
RGI60-01.01104,-134.349,58.38,64,1961,249.37732903227425
RGI60-01.02228,-143.847625732,69.302070618,13,1920,127.10572984739838
RGI60-01.04591,-131.062,56.955,9,1961,14.868303904378138
RGI60-01.05211,-130.684,56.975,9,1962,138.78742745590603
RGI60-01.05355,-130.83,57.091,8,1962,316.85652770994625
RGI60-01.09162,-148.908,60.412,51,1923,17.782804926436256
RGI60-02.00296,-122.979,49.8876,24,1928,-2.644249295103691
RGI60-02.00377,-122.989,49.9609,39,1961,825.5168972636834
RGI60-02.01104,-122.605,50.4195,51,1961,671.1910092546668
RGI60-02.02107,-123.414,50.7918,10,1963,0.5955682091837389
RGI60-02.02631,-123.621,50.872,10,1968,0.853899784899113
RGI60-02.02636,-123.639,50.8216,5,1961,486.7511073039682
RGI60-02.03210,-118.061,51.1141,10,1961,369.2214300950377
RGI60-02.04379,-125.136,51.3432,7,1961,935.0450785044113
RGI60-02.04503,-124.911,51.4455,8,1963,419.17939811566157
RGI60-02.05098,-116.56,51.6585,49,1961,340.7206817433862
RGI60-02.05690,-116.486,51.819,10,1961,386.88580009589214
RGI60-02.14017,-123.6957,47.80982,46,1949,-1.8693245134853953
RGI60-02.14297,-121.71401,46.86478,11,1961,89.74704407912793
RGI60-02.14336,-121.74768,46.82481,11,1961,131.1602649156515
RGI60-02.17023,-113.75707,48.62495,11,1960,361.7021261491565
RGI60-02.17307,-121.6233,48.82573,33,1961,83.69717124882834
RGI60-02.17369,-121.51089,48.67217,23,1968,1.8280772540648513
RGI60-02.17612,-121.2419,48.97609,23,1991,-5.136375481602471
RGI60-02.17733,-121.77805,48.79868,33,1971,1.4812053195524868
RGI60-02.17739,-121.82996,48.74956,27,1959,-0.7920409978236194
RGI60-02.17789,-121.03186,48.41349,10,1926,6.548823337157501
RGI60-02.17806,-121.03017,48.44805,33,1961,100.66224464085724
RGI60-02.17862,-120.79699,48.41053,22,1980,0.9356051479804819
RGI60-02.18005,-120.89636,48.17176,14,1961,125.35070514583748
RGI60-02.18077,-121.0938,48.57262,23,1961,96.44006100769434
RGI60-02.18415,-121.34847,47.96242,33,1968,2.225548764421319
RGI60-02.18487,-121.17219,47.56637,33,1957,-5.358109365772918
RGI60-02.18774,-121.76816,48.81383,27,1961,14.456759195425434
RGI60-02.18778,-121.05735,48.35698,60,1961,320.36872018973713
RGI60-02.18792,-121.68056,45.38097,15,1932,-34.18073420470898
