,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1911,25.03068657713584
RGI60-11.00012,13.0581,47.4242,10,1967,1.8946586387367006
RGI60-11.00073,12.5956,47.1403,17,1983,6.710048734364136
RGI60-11.00080,12.5964,47.1316,63,1932,2.5706142561369916
RGI60-11.00106,12.6967,47.0991,28,1890,-12.90959048909474
RGI60-11.00190,12.3784,47.0851,8,1867,1.5999252239448651
RGI60-11.00251,12.9472,47.053,16,1980,14.30306894309706
RGI60-11.00289,12.9702,47.0421,26,1882,-0.17538321349991293
RGI60-11.00300,13.0049,47.0385,32,1917,0.6702869606833701
RGI60-11.00603,11.2247,46.9656,19,1911,382.33604182190095
RGI60-11.00619,11.1528,46.9566,13,1895,2.9517243463496925
RGI60-11.00638,9.38896,46.9603,8,1911,346.23387655373745
RGI60-11.00647,12.0965,46.9069,6,1880,0.45297094046304665
RGI60-11.00719,10.818,46.8762,50,1875,-0.9360358810639013
RGI60-11.00781,10.1603,46.8577,26,1905,267.0516568403665
RGI60-11.00787,10.7907,46.8424,62,1942,0.6079730870067408
RGI60-11.00797,10.1054,46.8515,9,1916,-0.9059840247161901
RGI60-11.00804,10.0766,46.8524,96,1910,-0.691595691417831
RGI60-11.00807,10.1309,46.8529,9,1905,458.51201638579323
RGI60-11.00843,8.89117,46.8442,100,1884,1.1502230410581262
RGI60-11.00892,8.98871,46.833,42,1926,-9.816185620346403
RGI60-11.00897,10.7584,46.8003,62,1905,66.12871878745477
RGI60-11.00918,8.97739,46.8133,38,1925,48.59012553718898
RGI60-11.00929,11.0191,46.7817,8,1919,0.2612120880673956
RGI60-11.01238,8.3965,46.6236,33,1901,195.05950865780733
RGI60-11.01450,8.01919,46.5028,60,1966,261.1209723309668
RGI60-11.01662,9.36354,46.5056,5,1896,-0.6254115178511483
RGI60-11.01704,10.771,46.4838,28,1903,25.672590038388762
RGI60-11.01776,10.6115,46.4674,11,1905,226.56730199337608
RGI60-11.01834,10.7085,46.4512,48,1905,402.1894968678714
RGI60-11.01876,8.33019,46.4383,53,1901,202.29150769137937
RGI60-11.01930,10.1119,46.4296,5,1895,1.8827260304074116
RGI60-11.01987,8.4812,46.416,23,1976,-9.513058074084597
RGI60-11.02072,7.51198,46.3839,5,1970,859.8302298118726
RGI60-11.02214,10.5127,46.348,14,1903,250.28676000162022
RGI60-11.02245,9.70108,46.3085,6,1891,330.43237531996635
RGI60-11.02249,7.22536,46.3202,5,1970,783.8835116217524
RGI60-11.02285,9.64185,46.2987,6,1905,245.70526632267968
RGI60-11.02648,9.98941,46.0754,5,1999,-101.23838488375722
RGI60-11.02671,7.9245,46.0649,40,1911,-20.68375839521559
RGI60-11.02679,7.9131,46.055,59,1977,0.2292664074630295
RGI60-11.02704,7.90949,46.0336,59,1882,-2.822542870348883
RGI60-11.02746,7.92806,46.0081,59,1918,-2.1094920187496484
RGI60-11.02764,7.87661,46.0124,9,1866,-0.345329693216172
RGI60-11.02766,7.29108,45.9647,18,1925,218.42402842575336
RGI60-11.02773,7.87051,45.9936,10,1908,1.7182980918639714
RGI60-11.02774,7.38888,45.9921,48,1925,61.04952778463206
RGI60-11.03084,7.27894,45.5592,14,1927,-2.7041708420659916
RGI60-11.03135,7.38984,45.5181,23,1903,534.7641084054126
RGI60-11.03166,7.2204,45.4757,12,1927,-0.8619134348780904
RGI60-11.03246,10.982920789,47.415938932,6,1867,1.6259543856047856
RGI60-11.03638,6.985,45.951,39,1966,280.0248198913963
RGI60-11.03643,6.934,45.883,8,1916,-0.8319801062109491
RGI60-11.03671,6.629,45.295,20,1905,302.6204080137343
RGI60-11.03674,6.159,45.16,58,1926,345.53882893139064
RGI60-11.03756,6.130521774,45.116443634,66,1925,714.0313442650838
