,lon,lat,n_mb_years,tstar,bias
RGI50-01.00570,-145.427,63.281,51,1922,538.5640648600718
RGI50-01.01104,-134.349,58.38,64,1961,249.37732903227425
RGI50-01.02228,-143.847625732,69.302070618,13,1920,127.10572984739838
RGI50-01.04591,-131.062,56.955,9,1961,14.868303904378138
RGI50-01.05211,-130.684,56.975,9,1962,138.78742745590603
RGI50-01.05355,-130.83,57.091,8,1962,316.85652770994625
RGI50-01.09162,-148.908,60.412,51,1923,17.782804926436256
RGI50-02.00644,-121.744,46.8256,11,1961,130.17920428806553
RGI50-02.00651,-121.713,46.8647,11,1961,90.13290418361737
RGI50-02.00686,-121.161,47.5591,33,1963,-6.3296339850069785
RGI50-02.00837,-121.353,47.97,33,1968,-10.850580094655243
RGI50-02.00874,-120.895,48.1717,14,1961,130.96672592953354
RGI50-02.00941,-121.059,48.3574,60,1961,313.57875526845805
RGI50-02.00971,-120.79,48.41,22,1953,0.19244393515430147
RGI50-02.00974,-121.031,48.4136,10,1941,-7.189898511242063
RGI50-02.00992,-121.031,48.4474,33,1961,139.98492318087744
RGI50-02.01093,-121.093,48.5729,23,1961,94.30491574855046
RGI50-02.01146,-113.756,48.625,11,1960,361.7734166429411
RGI50-02.01170,-121.527,48.6735,23,1966,-0.5186633056090386
RGI50-02.01295,-121.769,48.8142,27,1961,24.72190282158806
RGI50-02.01299,-121.777,48.7989,33,1971,-1.6237617696027655
RGI50-02.01305,-121.827,48.7489,27,1970,-0.0415886166964583
RGI50-02.01356,-121.622,48.8259,33,1961,54.53956077985674
RGI50-02.01464,-121.24,48.9769,23,1991,-2.532000813039275
RGI50-02.01779,-122.979,49.8876,24,1928,-2.644249295103691
RGI50-02.01860,-122.989,49.9609,39,1961,825.5168972636834
RGI50-02.02587,-122.605,50.4195,51,1961,671.1910092546668
RGI50-02.03590,-123.414,50.7918,10,1963,-0.13218664860460194
RGI50-02.04114,-123.621,50.872,10,1968,0.853899784899113
RGI50-02.04119,-123.639,50.8216,5,1961,486.7511073039682
RGI50-02.04693,-118.061,51.1141,10,1961,369.2214300950377
RGI50-02.05862,-125.136,51.3432,7,1961,935.0450785044113
RGI50-02.05986,-124.911,51.4455,8,1963,419.19564924766337
RGI50-02.06581,-116.56,51.6585,49,1961,340.7206817433862
RGI50-02.07173,-116.486,51.819,10,1961,386.88580009589214
RGI50-02.13914,-121.68,45.3805,15,1932,-32.45844623199662
RGI50-02.13924,-123.694,47.81,46,1972,-0.5262180821754612
RGI50-02.13974,-114.965,75.4291,53,1922,246.7875923475183
RGI50-03.00691,-99.1904,79.982,56,1982,120.98890136875943
