rgi_version,rgi_reg,chunk_size,n_chunks,n_glaciers
62,01,100,272,27108
62,01,1000,28,27108
62,02,100,189,18855
62,02,1000,19,18855
62,03,100,46,4556
62,03,1000,5,4556
62,04,100,75,7415
62,04,1000,8,7415
62,05,100,203,19306
62,05,1000,21,19306
62,06,100,6,568
62,06,1000,1,568
62,07,100,17,1615
62,07,1000,2,1615
62,08,100,35,3417
62,08,1000,4,3417
62,09,100,11,1069
62,09,1000,2,1069
62,10,100,52,5151
62,10,1000,6,5151
62,11,100,40,3927
62,11,1000,4,3927
62,12,100,19,1888
62,12,1000,2,1888
62,13,100,545,54429
62,13,1000,55,54429
62,14,100,280,27988
62,14,1000,28,27988
62,15,100,132,13119
62,15,1000,14,13119
62,16,100,30,2939
62,16,1000,3,2939
62,17,100,160,15908
62,17,1000,16,15908
62,18,100,36,3537
62,18,1000,4,3537
62,19,100,28,2752
62,19,1000,3,2752
70G,01,100,276,27509
70G,01,1000,28,27509
70G,02,100,188,18730
70G,02,1000,19,18730
70G,03,100,53,5216
70G,03,1000,6,5216
70G,04,100,111,11009
70G,04,1000,12,11009
70G,05,100,200,19994
70G,05,1000,20,19994
70G,06,100,6,568
70G,06,1000,1,568
70G,07,100,17,1666
70G,07,1000,2,1666
70G,08,100,35,3410
70G,08,1000,4,3410
70G,09,100,11,1069
70G,09,1000,2,1069
70G,10,100,72,7155
70G,10,1000,8,7155
70G,11,100,41,4079
70G,11,1000,5,4079
70G,12,100,23,2275
70G,12,1000,3,2275
70G,13,100,757,75613
70G,13,1000,76,75613
70G,14,100,376,37562
70G,14,1000,38,37562
70G,15,100,186,18587
70G,15,1000,19,18587
70G,16,100,37,3695
70G,16,1000,4,3695
70G,17,100,307,30634
70G,17,1000,31,30634
70G,18,100,31,3018
70G,18,1000,4,3018
70G,19,100,28,2742
70G,19,1000,3,2742
70C,01,100,176,17503
70C,01,1000,18,17503
70C,02,100,145,14464
70C,02,1000,15,14464
70C,03,100,25,2422
70C,03,1000,3,2422
70C,04,100,66,6532
70C,04,1000,7,6532
70C,05,100,132,13137
70C,05,1000,14,13137
70C,06,100,3,290
70C,06,1000,1,290
70C,07,100,10,943
70C,07,1000,1,943
70C,08,100,27,2621
70C,08,1000,3,2621
70C,09,100,4,327
70C,09,1000,1,327
70C,10,100,62,6177
70C,10,1000,7,6177
70C,11,100,34,3319
70C,11,1000,4,3319
70C,12,100,20,1980
70C,12,1000,2,1980
70C,13,100,534,53387
70C,13,1000,54,53387
70C,14,100,289,28855
70C,14,1000,29,28855
70C,15,100,119,11816
70C,15,1000,12,11816
70C,16,100,21,2036
70C,16,1000,3,2036
70C,17,100,230,22975
70C,17,1000,23,22975
70C,18,100,25,2484
70C,18,1000,3,2484
70C,19,100,17,1601
70C,19,1000,2,1601
